lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
call'st,call'st,1.0,,1,
that'zzz,that'zzz,1.0,,1,buzz
'suora,'suora,1.0,,1,
z'alright,Z'alright,1.0,,1,
aft'r,aft'r,1.0,,1,
l'rd,L'rd,1.0,,1,
protecteth'r,protecteth'r,1.0,,1,
th're,th're,1.0,,1,
w're,w're W're,1.0,,2,
drown'd,drown'd,1.0,,1,would
s'fucking,S'fucking,1.0,,1,
wish'd,wish'd,1.0,,1,would
t'wake,t'wake,1.0,,1,
'mommie,'Mommie,1.0,,1,
one'd,one'd,1.0,,1,would
kitt'n,kitt'n,1.0,,1,
y'rself,y'rself,1.0,,1,
bett'r'n,bett'r'n,1.0,,1,
y'look,Y'look,1.0,,1,
whus',whus',1.0,,1,
just'cause,just'cause,1.0,,1,
righti'm,rightI'm,1.0,,1,
out'ere,out'ere,1.0,,1,
kill'em,kill'em,1.0,,1,
stick'in,stick'in,1.0,,1,
give'em,give'em,1.0,,1,
act'n,act'n,1.0,,1,
jok'n,jok'n,1.0,,1,
th'ritz,th'Ritz,1.0,,1,
t'es,T'es,1.0,,1,
s'cause,S'cause,1.0,,1,
m'almost,m'almost,1.0,,1,
y'come,y'come,1.0,,1,
ssserp'nt,ssserp'nt,1.0,,1,hiss
dont'cha,dont'cha,1.0,,1,
y'not,Y'not,1.0,,1,
g'morning,G'morning g'morning,1.0,,2,
s'ry,S'ry,1.0,,1,
itwe're,itwe're,1.0,,1,
m'alright,M'alright,1.0,,1,
s'cute,S'cute s'cute,1.0,,2,
d'if,D'if d'if,1.0,,2,
dog'd,dog'd,1.0,,1,would
ansssss'er,ansssss'er,1.0,,1,hiss
'ead,'ead,1.0,,1,
yo're,yo're,1.0,,1,
s'fun,S'fun,1.0,,1,
'mhungry,'Mhungry,1.0,,1,
s'middle,S'middle,1.0,,1,
alrigh',alrigh',1.0,,1,
m'n-angel,m'n-angel,1.0,,1,
le',le',1.0,,1,
lipss'r,lipss'r,1.0,,1,hiss
m'drunk,m'drunk,1.0,,1,
have–'m,have–'m,1.0,,1,
'oly,'oly,1.0,,1,
'ood,'ood,1.0,,1,
o'ay,o'ay,1.0,,1,
f'you,f'you,1.0,,1,
m'a,M'a m'a,1.0,??,2,
th'fuck,th'fuck,1.0,,1,
ne'er-do-well-ing,ne'er-do-well-ing,1.0,,1,
'lways,'lways,1.0,,1,
n'much,N'much,1.0,,1,
's’pose,'s’pose,1.0,,1,
y'said,Y'said y'said,1.0,,2,
more'n,more'n,1.0,,1,
any'a,any'a,1.0,,1,
to'im,to'im,1.0,,1,
how'm,how'm,1.0,,1,
open-mouth'd,open-mouth'd,1.0,,1,would
ch’i',ch’i',1.0,,1,
ole',ole',1.0,,1,
'un,'un,1.0,,1,
that'z,that'z,1.0,,1,
s'terrible,S'terrible,1.0,,1,
m'flat,m'flat,1.0,,1,
righ',righ',1.0,,1,
tho',tho',1.0,,1,
wi',wi',1.0,,1,
'nymore,'nymore,1.0,,1,
y'remember,y'remember Y'remember,1.0,,2,
c'you,C'you,1.0,,1,
s'easy,S'easy s'easy,1.0,,2,
s'passion,S'passion,1.0,,1,hiss
m'demon,m'demon M'demon,1.0,,2,
ne'er-do-wells,ne'er-do-wells,1.0,,1,
'eey,'Eey,1.0,,1,
'xxaactly,'Xxaactly,1.0,,1,
leas',leas',1.0,,1,
'fcourse,'fcourse,1.0,,1,
dem'n,dem'n,1.0,,1,
'magine,'magine,1.0,,1,
sex'ss,SEX'ss,1.0,,1,hiss
lust'ss,LUST'ss,1.0,,1,hiss
t'was,t'was T'was,1.0,,2,
v'you,V'you,1.0,,1,
'pearances,'pearances,1.0,,1,
s'time,s'time S'time,1.0,,2,
s'disgusting,s'disgusting,1.0,,1,
ss'my,ss'my,1.0,,1,hiss
y'cant,y'cant,1.0,,1,
s'right,S'right s'right,1.0,,2,
'scape,'scape,1.0,,1,
m'plants,M'plants m'plants,1.0,,2,
'onety,'onety,1.0,,1,
m're,m're,1.0,,1,
h're,h're,1.0,,1,
dang'r,dang'r,1.0,,1,
tesd'hup'anankes,tesd'hup'anankes,1.0,,1,
r'you'n,r'you'n,1.0,,1,
s'mm-so,S'mm-so,1.0,,1,
s'addictive,S'addictive,1.0,,1,
'eavy,'eavy,1.0,,1,
def'nitely,def'nitely,1.0,,1,
pardon'd,pardon'd,1.0,,1,would
complimynt'd,complimynt'd,1.0,,1,would
p'tang,P'tang,1.0,,1,
j'ds,J'ds,1.0,,1,
'ds,'ds,1.0,,1,
t'malia,T'Malia,1.0,,1,
od'd,OD'd,1.0,,1,would
block'eads,block'eads,1.0,,1,
for'n,for'n,1.0,,1,
i'd'ae,I'd'ae,1.0,,1,
wouldn'ae,wouldn'ae,1.0,,1,
wouldn't—mmm,wouldn't—mmm,1.0,???,1,
didna',didna',1.0,,1,
ye'd,ye'd,1.0,,1,would
abou',abou',1.0,,1,
shouldn'a,shouldn'a,1.0,,1,
ye're,ye're,1.0,,1,
t'beguile,t'beguile,1.0,,1,
e'er,E'er e'er,1.0,,2,
wouldna',wouldna',1.0,,1,
wasn't—er,wasn't—er,1.0,,1,
'limpics,'limpics,1.0,,1,
s'posing,s'posing,1.0,,1,
'ssswarm,'Ssswarm,1.0,,1,hiss
'spect,'spect 'Spect,1.0,,2,
s'got,s'got S'got,1.0,,2,
s'beautiful,S'beautiful,1.0,,1,
'mazing,'mazing 'Mazing,1.0,,2,
s'gone,S'gone,1.0,,1,
'struth,'Struth,1.0,,1,
couldn',couldn',1.0,,1,
th'eye,th'eye,1.0,,1,
th'floor,th'floor,1.0,,1,
s'bloody,S'bloody,1.0,,1,
d'—crowley,d'—Crowley,1.0,,1,
m'tea's,M'tea's,1.0,,1,
have't,have't,1.0,,1,
o'er-crows,o'er-crows,1.0,,1,
o'toole,O'Toole,1.0,,1,
s'notgonnabehardgiventhosetwo,S'notgonnabehardgiventhosetwo,1.0,,1,
what'ss,what'ss,1.0,,1,hiss
you'r,you'r,1.0,,1,
coffe',coffe',1.0,,1,
'fess,'fess,1.0,,1,hiss
'muggle,'muggle,1.0,,1,
'gainst,'gainst,1.0,,1,
d'yuh,D'yuh,1.0,,1,
i'unno,I'unno,1.0,,1,
tryin'na,tryin'na,1.0,,1,
m'dears,m'dears,1.0,,1,
boy'd,boy'd,1.0,,1,would
m'boy,m'boy,1.0,,1,
feel'st,feel'st,1.0,,1,
comm'd,comm'd,1.0,,1,would
buggers'd,buggers'd,1.0,,1,would
cos',cos',1.0,,1,
s'achilles,S'Achilles,1.0,,1,
s'his,s'his,1.0,,1,
s'ridiculous,s'ridiculous,1.0,,1,
s'stupid,s'stupid,1.0,,1,
'st,'St,1.0,,1,
there'sh,there'sh,1.0,,1,
'sposed,'sposed,1.0,,1,
'nyway,'nyway 'Nyway,1.0,,2,
how-d'you-do,how-d'you-do,1.0,,1,
o'kindness,o'kindness,1.0,,1,hiss
y'ssself,y'ssself,1.0,,1,hiss
feeling'sss,feeling'sss,1.0,,1,hiss
togeth'r,togeth'r,1.0,,1,
doe',doe',1.0,,1,
o'nudgers,o'nudgers,1.0,,1,
guys're,guys're,1.0,,1,
ligk'n,ligk'n,1.0,,1,
m'sselvf,m'sselvf,1.0,,1,hiss
wuzn'dt,wuzn'dt,1.0,,1,
'wyre,'wyre,1.0,,1,
'fynd,'fynd,1.0,,1,
p'etty,P'etty,1.0,,1,
'nuff,'nuff 'Nuff,1.0,,2,
m'name's,M'name's,1.0,,1,
ha-da'ath,HA-DA'ATH,1.0,,1,
cent'ries,cent'ries,1.0,,1,
suff'ring,suff'ring,1.0,,1,
'smite-y,'smite-y,1.0,,1,
wings're,wings're,1.0,,1,
’d'you,’D'you,1.0,,1,
’m'sorry,’M'sorry,1.0,,1,
int'rested,int'rested,1.0,,1,
t'visit,t'visit,1.0,,1,
d'mands,d'mands,1.0,,1,
th'temple,th'temple,1.0,,1,
coexist'nce,coexist'nce,1.0,,1,
b'tween,b'tween,1.0,,1,
th'people's,th'people's,1.0,,1,
peacef'l,peacef'l,1.0,,1,
th'blood,th'blood,1.0,,1,
th'people,th'people,1.0,,1,
t'keep,t'keep,1.0,,1,
stup'd,stup'd,1.0,,1,would
th'person'fication,th'person'fication,1.0,,1,
ridic'lous,ridic'lous,1.0,,1,
y'say,y'say,1.0,,1,
t'go,t'go,1.0,,1,
th'mead,th'mead,1.0,,1,
s'an,s'an,1.0,,1,
t'day,T'day t'day,1.0,,2,
d'yer,d'yer,1.0,,1,
'zzzzp'le,'Zzzzp'le,1.0,,1,buzz
w't,W't,1.0,,1,
'y,'y,1.0,,1,
'd'ng,'d'ng,1.0,,1,
n'',N'',1.0,,1,
sssss'k,sssss'k,1.0,,1,hiss
'sssss,'Sssss,1.0,,1,hiss
mus',mus',1.0,,1,
haiku'd,haiku'd,1.0,,1,would
pow'r,pow'r,1.0,,1,
m'benga,M'Benga,1.0,,1,
t'gai,T'gai,1.0,,1,
„'s,„'S,1.0,,1,
those're,those're,1.0,,1,
'luh,'Luh,1.0,,1,
’d'y'have,’D'y'have,1.0,,1,
ssssh'd,ssssh'd,1.0,,1,would hiss
'g-satan,'G-Satan,1.0,,1,
b-',b-',1.0,,1,
'who're,'Who're,1.0,,1,
chu',chu',1.0,,1,
'k's,'k's,1.0,,1,
'looke,'Looke,1.0,,1,
s'about,S'about s'about,1.0,,2,
the'd,the'd,1.0,,1,would
bonded'd,bonded'd,1.0,??,1,would
d'ell,d'ell,1.0,,1,
th'great,th'Great,1.0,,1,
we'd—and—no,we'd—and—no,1.0,,1,
when'd,when'd,1.0,??,1,would
ver',ver',1.0,,1,
sep'rate,sep'rate,1.0,,1,
over'd,over'd,1.0,,1,would
c-can't—my,c-can't—my,1.0,,1,
'g'—very,'G'—very,1.0,,1,
y'fancy,Y'fancy,1.0,,1,
y'boy,y'boy,1.0,,1,
'z,'z,1.0,,1,
t'other,t'other,1.0,,1,
s'great,S'great,1.0,,1,
'causssse,'Causssse,1.0,??,1,hiss
s'probably,S'probably,1.0,,1,
rec'd,rec'd,1.0,,1,would
whatchy'all,whatchy'all,1.0,,1,
'donna,'Donna,1.0,,1,
m'ssssorry,M'ssssorry,1.0,,1,hiss
angel'sss,angel'sss,1.0,,1,hiss
'coursse,'Coursse,1.0,??,1,hiss
sssss'a,sssss'a,1.0,,1,hiss
ssss'meant,ssss'meant,1.0,,1,hiss
s'own,s'own,1.0,,1,
s'for,s'for,1.0,,1,
f'i,F'I,1.0,,1,
s'how,S'how,1.0,,1,
s'so,S'so s'so,1.0,,2,
prop'ly,prop'ly,1.0,,1,
wors'thing,wors'thing,1.0,,1,
y'have,y'have Y'have,1.0,,2,
'm'ke,'M'ke,1.0,,1,
s'metimes,s'metimes,1.0,,1,
d'tenech,d'tenech,1.0,,1,
ya'achna'ashima,ya'achna'ashima,1.0,,1,
d'kanaph,d'kanaph,1.0,,1,
d'aga,d'aga,1.0,,1,
d'eshonim,d'eshonim,1.0,,1,
d'marush,d'marush,1.0,,1,
g'marush,g'marush,1.0,,1,
g'chomon,g'chomon,1.0,,1,
g'shon'aga,g'shon'aga,1.0,,1,
g'chedahen,g'chedahen,1.0,,1,
s'cold,S'cold s'cold,1.0,,2,
m'i,M'I,1.0,,1,
xir'sa,xir'sa,1.0,,1,
s'late,S'late,1.0,,1,
rock'n'roll,rock'n'roll,1.0,,1,
th'inconstant,th'inconstant,1.0,,1,
'oliday,'oliday,1.0,,1,
'eart,'eart,1.0,,1,
things're,things're,1.0,,1,
hah'd,hah'd,1.0,,1,would
n'alien,n'alien,1.0,,1,
'thass,'Thass,1.0,,1,hiss
what-do-you-call-'em,what-do-you-call-'em,1.0,,1,
's'been,'S'been,1.0,,1,
'let'sss,'Let'sss,1.0,,1,hiss
p'raps,P'raps,1.0,,1,
there'sss,there'sss,1.0,,1,hiss
w'you,w'you,1.0,,1,
n'night,N'night,1.0,,1,
'fter,'fter,1.0,,1,
vodka'd,vodka'd,1.0,,1,would
th'lads're,th'lads're,1.0,,1,
yersel',yersel',1.0,,1,
th'lads,th'lads,1.0,,1,
th'lads'd,th'lads'd,1.0,,1,would
pisssssssss',pisssssssss',1.0,,1,hiss
ssssssincere',ssssssincere',1.0,,1,hiss
quessssssstion',quessssssstion',1.0,,1,hiss
'precisssssssely,'Precisssssssely,1.0,,1,hiss
serioussssss',serioussssss',1.0,,1,hiss
sssssssleeep',sssssssleeep',1.0,,1,hiss
thessssse',thessssse',1.0,,1,hiss
wro'n,wro'n,1.0,,1,
comin'and,comin'And,1.0,,1,
bloomin'and,bloomin'And,1.0,,1,
ken'd,ken'd,1.0,,1,would
'ardly,'ardly,1.0,,1,
ssssssomeone'sss,ssssssomeone'sss,1.0,,1,hiss
'ssmy,'Ssmy,1.0,,1,hiss
scared'a,scared'a,1.0,,1,
t'your,t'your,1.0,,1,
i'mmah,I'mmah,1.0,,1,
s'important,S'important s'important,1.0,,2,
tol',tol',1.0,,1,
y'understand,y'understand,1.0,,1,
t'know,t'know,1.0,,1,
y'dun,y'dun Y'dun,1.0,,2,
y'alone,y'alone,1.0,,1,
y'manage,y'manage,1.0,,1,
y'should,y'should Y'should,1.0,,2,
t'make,t'make,1.0,,1,
measures'n,measures'n,1.0,,1,
down'ere,down'ere,1.0,,1,
y'owe,y'owe,1.0,,1,
c'moncmoncmon,C'moncmoncmon,1.0,,1,
y'ought,Y'ought,1.0,,1,
t'tell,t'tell,1.0,,1,
ya'bout,ya'bout,1.0,,1,
t'eat,t'eat,1.0,,1,
's’not,'S’not,1.0,,1,
'ow's,'Ow's,1.0,,1,
some'ow,some'ow,1.0,,1,
that'sz,that'sz,1.0,,1,
'orses,'orses,1.0,,1,
o'us,o'us,1.0,,1,
t'say,t'say,1.0,,1,
mis'rable,mis'rable,1.0,,1,
b'yond,b'yond,1.0,,1,
y'more,y'more,1.0,,1,
of'n,of'n,1.0,,1,
know'im,know'im,1.0,,1,
it'sz,it'sz,1.0,,1,
feeling'sz,feeling'sz,1.0,,1,
drag'em,drag'em,1.0,,1,
throw'n,throw'n,1.0,,1,
why'm,why'm,1.0,,1,
y'be,y'be,1.0,,1,
tell'im,tell'im,1.0,,1,
t'stop,t'stop,1.0,,1,
y'patch,y'patch,1.0,,1,
t'get,t'get,1.0,,1,
tiff',tiff',1.0,,1,
y'wanted,Y'wanted,1.0,,1,
t'play,t'play,1.0,,1,
for'im,for'im,1.0,,1,
'splode,'splode,1.0,,1,
y'been,y'been,1.0,,1,
y'rattled,y'rattled,1.0,,1,
t'ask,t'ask,1.0,,1,
ev'ryone,ev'ryone,1.0,,1,
t'do,t'do,1.0,,1,
y'harp,Y'harp,1.0,,1,
comf'table,comf'table,1.0,,1,
'abject,'abject,1.0,,1,
y'put,y'put,1.0,,1,
'spite,'spite,1.0,,1,
yer'n,yer'n,1.0,,1,
kill'im,kill'im,1.0,,1,
need'em,need'em,1.0,,1,
y'get,y'get Y'get,1.0,,2,
y'ever,y'ever Y'ever,1.0,,2,
getting'im,getting'im,1.0,,1,
y'agree,Y'agree,1.0,,1,
y'seem,Y'seem,1.0,,1,
y'awake,Y'awake,1.0,,1,
over'n,over'n,1.0,,1,
y'enough,y'enough,1.0,,1,
draggin'-to-hell,draggin'-to-Hell,1.0,,1,
t'show,t'show,1.0,,1,
in'em,in'em,1.0,,1,
t'ave,t'ave,1.0,,1,
y'admit,y'admit Y'admit,1.0,,2,
y'killed,y'killed,1.0,,1,
roun',roun',1.0,,1,
please'm,please'm,1.0,,1,
'xample,'xample,1.0,,1,
y'keeps,Y'KEEPS,1.0,,1,
presum'bly,presum'bly,1.0,,1,
o'demon,o'demon,1.0,,1,
'zzzssiraphale,'zzzssiraphale,1.0,,1,hiss buzz
someone'sss,someone'sss,1.0,,1,hiss
m'going,m'going M'going,1.0,,2,
t'bed,t'bed,1.0,,1,
'q’,'Q’,1.0,,1,
t'door,t'door,1.0,,1,
t'witches,t'witches,1.0,,1,
dinna',dinna',1.0,,1,
'dionysus's,'Dionysus's,1.0,,1,
m'assuming,m'assuming,1.0,,1,hiss
'nstead,'nstead,1.0,,1,
f'hdmuhwe,F'hdmuhwe,1.0,,1,
t'rrific,T'rrific,1.0,,1,
t'bloody,t'bloody,1.0,,1,
go'ssake,go'ssake,1.0,,1,hiss
t'foulest,T'foulest,1.0,,1,
exp'cted,exp'cted,1.0,,1,
'theema,'Theema,1.0,??,1,
s'rafel,S'rafel,1.0,,1,
s'fact,S'fact,1.0,,1,
t'hotel,t'hotel,1.0,,1,
'voteth,'voteth,1.0,,1,
t'wee,t'wee,1.0,,1,
t'witchfin,T'Witchfin,1.0,,1,
s'wha',S'wha',1.0,,1,
t'matchmaker,T'Matchmaker,1.0,,1,
t'witch,t'witch,1.0,,1,
m'turning,M'turning,1.0,,1,
s'funny,s'funny S'funny,1.0,,2,
m'side,m'side,1.0,,1,
m'done,M'DONE M'done,1.0,,2,
s'aboot,s'aboot,1.0,,1,
p'culiar,p'culiar,1.0,,1,
t'end,t'end,1.0,,1,
de'il,de'il,1.0,,1,
t'kiss,t'kiss,1.0,,1,hiss
s-',s-',1.0,,1,
people'sssss,people'sssss,1.0,,1,hiss
ancesssssstressssss',ancesssssstressssss',1.0,,1,hiss
t'world,t'world,1.0,,1,
what'z,what'z,1.0,,1,
she'z,she'z,1.0,,1,
h',H',1.0,,1,
ey'd,ey'd,1.0,,1,would
t'convince,t'convince,1.0,,1,
'mi,'Mi,1.0,,1,
casa',casa',1.0,,1,
v'always,V'always,1.0,,1,
y'pain,y'pain,1.0,,1,
inn'cents,inn'cents,1.0,,1,
others're,others're,1.0,,1,
reje-',reje-',1.0,,1,
'pfft,'Pfft,1.0,,1,
don'understand,don'understand,1.0,,1,
don'ave,don'ave,1.0,,1,
'treally,'Treally,1.0,,1,
s'times,S'times,1.0,,1,
won'er,won'er,1.0,,1,
's'about,'s'about,1.0,,1,
's'going,'S'going,1.0,,1,
death'f,death'f,1.0,,1,
traxx',traxx',1.0,,1,
convincin'🎶,convincin'🎶,1.0,,1,
i'mma,I'mma,1.0,,1,
'aww's,'aww's,1.0,??,1,
'oooh's,'oooh's,1.0,??,1,
m'lady,m'lady,1.0,,1,
m'expliques,m'expliques,1.0,,1,
ooh'd,ooh'd,1.0,,1,would
'wooo's,'wooo's,1.0,??,1,
'they'd,'They'd 'they'd,1.0,,2,would
d'know,d'know,1.0,,1,
m'laddo,m'laddo,1.0,,1,
s'morning,S'morning,1.0,,1,
y'snore,Y'snore,1.0,,1,
s'only,S'only,1.0,,1,
s'war,S'war,1.0,,1,
s'there,S'there,1.0,,1,
d'orsay,d'Orsay,1.0,,1,
hol',hol',1.0,,1,
m'aidez,m'aidez,1.0,,1,
shouldn'ts,shouldn'ts,1.0,,1,
'ad,'ad,1.0,,1,
'uman,'uman,1.0,,1,
s'ascose,s'ascose,1.0,,1,
kudos'd,kudos'd,1.0,,1,would
em',em',1.0,,1,
i'gve,I'gve,1.0,,1,
sssecon',sssecon',1.0,,1,hiss
th'sssame,th'sssame,1.0,,1,hiss
bernned'm,bernned'm,1.0,,1,
's'gone,'s'gone,1.0,,1,
comp'ny,comp'ny,1.0,,1,
s'on,S'on,1.0,,1,
s'aperçut,s'aperçut,1.0,,1,
m'really,M'really,1.0,,1,
there—y'd,there—y'd,1.0,,1,would
b'low,B'low,1.0,,1,
t'call,t'call,1.0,,1,
an'thing,an'thing,1.0,,1,
out'f,out'f,1.0,,1,
bi',bi',1.0,,1,
in'it,in'it,1.0,,1,
did't,did't,1.0,,1,
'oof,'oof,1.0,??,1,
t'is,T'is t'is,1.0,,2,
one'ssss,one'ssss,1.0,,1,hiss
this'd,this'd,1.0,,1,would
s'gotta,s'gotta,1.0,,1,
'imself,'imself,1.0,,1,
hillsi'm,hillsI'm,1.0,,1,
th'unworthy,th'unworthy,1.0,,1,
s'far,s'far,1.0,,1,
i—pshh—that's—no,I—pshh—that's—no,1.0,,1,
s'pect,s'pect,1.0,,1,
intent',intent',1.0,,1,
kebab'd,kebab'd,1.0,??,1,would
d'y'know,D'y'know,1.0,,1,
what'zzzz,what'zzzz,1.0,,1,buzz
doohickey',doohickey',1.0,,1,
wond'ring,wond'ring,1.0,,1,
gard'ning,gard'ning,1.0,,1,
'twats,'Twats,1.0,,1,
ny'all,ny'all,1.0,,1,
wasn',wasn',1.0,,1,
dad-thing',dad-thing',1.0,,1,
afters',afters',1.0,,1,
idioti'm,idiotI'm,1.0,,1,
s'was,S'was,1.0,,1,
m'all,M'all,1.0,,1,
where'er,where'er,1.0,,1,
yer',yer',1.0,,1,
ya'know,ya'know,1.0,,1,
r'lax,R'lax,1.0,,1,
understan',understan',1.0,,1,
piss'em,piss'em,1.0,,1,hiss
ducks're,ducks're,1.0,,1,
all'a,all'a,1.0,,1,
who'z,who'z,1.0,,1,
how'z,how'z,1.0,,1,
why's',why's',1.0,,1,
aura'z,aura'z,1.0,,1,
s'vn,S'vn,1.0,,1,
t'wrld,t'wrld,1.0,,1,
a'me,a'me,1.0,,1,
o'hell,o'hell,1.0,,1,
ninety-thousand-and-one'th,ninety-thousand-and-one'th,1.0,,1,
ch'entrate,ch'entrate,1.0,,1,
'ssspect,'ssspect,1.0,,1,hiss
't's,'t's 'T's,1.0,,2,
are–err–they're,are–err–they're,1.0,,1,
'shamed,'shamed,1.0,,1,
he'f,he'f,1.0,,1,
it'f,it'f,1.0,,1,
there'f,there'f,1.0,,1,
angel'f,angel'f,1.0,,1,
'y-you,'Y-You,1.0,,1,
results'd,results'd,1.0,,1,would
must'd,must'd,1.0,,1,would
'elo,'Elo 'elo,1.0,,2,
they'red,they'red,1.0,,1,
cont'd,cont'd CONT'D,1.0,,2,would
m'oublie,m'oublie,1.0,,1,
m'ocie,m'ocie,1.0,,1,
n'y,n'y,1.0,,1,
fight'em,fight'em,1.0,,1,
earth're,earth're,1.0,,1,
all'til,all'Til,1.0,,1,
swear'st,swear'st,1.0,,1,
feet'sa,feet'sA,1.0,,1,
'elp,'elp,1.0,,1,
ye',ye',1.0,,1,
'elping,'elping,1.0,,1,
'ands,'ands,1.0,,1,
de-',de-',1.0,,1,
'that'd,'That'd,1.0,,1,would
clutzy',clutzy',1.0,,1,
it'seyes,it'seyes,1.0,,1,
there'z,there'z,1.0,,1,
here'z,here'z,1.0,,1,
angel'z,angel'z,1.0,,1,
each-other'z,each-other'z,1.0,,1,
side'z,side'z,1.0,,1,
war'z,war'z,1.0,,1,
gotta',gotta',1.0,,1,
gonna',gonna',1.0,,1,
lotsa',lotsa',1.0,,1,
'atta-boy's,'atta-boy's,1.0,,1,
wanna',wanna',1.0,??,1,
flunkie',flunkie',1.0,,1,
kinda',kinda',1.0,,1,
what'zz,what'zz,1.0,,1,buzz
m'head,m'head,1.0,,1,
it--he'd,it--he'd,1.0,,1,would
better'n,better'n,1.0,,1,
ever'body,ever'body,1.0,,1,
years--he'd,years--he'd,1.0,,1,would
isn't--hes,isn't--hes,1.0,,1,
m'so,M'so,1.0,,1,
i'eed,I'eed,1.0,,1,
'dung,'dung,1.0,,1,
d'oh,d'oh,1.0,,1,
m'point,M'point m'point,1.0,,2,
miracle'ing,miracle'ing,1.0,,1,
'commode'--my,'commode'--my,1.0,,1,
m'gillah,M'gillah,1.0,,1,
s'rpentine,s'rpentine,1.0,,1,
s'rrows,s'rrows,1.0,,1,
'methinks,'Methinks,1.0,??,1,
much'd,much'd,1.0,,1,would
let'em,let'em,1.0,,1,
didnt't,didnt't,1.0,,1,
m'legs,m'legs,1.0,,1,
go-get-'em,go-get-'em,1.0,,1,
that're,that're,1.0,,1,
how'd'y'do,how'd'y'do,1.0,,1,
a'tall,a'tall,1.0,,1,
an'this,an'this,1.0,,1,
you'd-you'd-oh,you'd-you'd-oh,1.0,,1,
your're,your're,1.0,,1,
m'trying,M'trying,1.0,,1,
alge',alge',1.0,,1,
'courssssssse,'Courssssssse,1.0,,1,hiss
human-'til-proven-otherwise,human-'til-proven-otherwise,1.0,,1,
tsk'd,tsk'd,1.0,,1,would
bad—she'd,bad—she'd,1.0,,1,would
s'always,S'always s'always,1.0,,2,
'pep,'pep,1.0,??,1,
'innit,'innit,1.0,??,1,
you's',you's',1.0,,1,
s'real,s'real,1.0,,1,
